,joints,markers
155,[-1.50686415 -0.80951819  1.78182439  1.00453171 -1.98268036 -2.94916052  0.10303784  1.8905532  -0.34777161 -0.64646734  2.92725791 -0.6119646  -2.58241954 -0.40098066  1.48273796 -0.50439067  2.17230795  0.          0.        ],"[[-1.63558346  1.86927788  0.91525053]
 [-2.31057682  2.66016283  2.09383198]]"
156,[-0.70156023 -0.48118253  2.30205894  2.40197121  0.07537272  1.55930106  0.04397424  1.41387016  1.0395212   0.67503982 -0.22733807 -0.95687828 -2.33204713 -0.7407747   0.43959457  1.25183305  1.99231476  0.          0.        ],"[[-1.80597607  1.35953913  1.67994969]
 [-3.21194876  2.80032733  1.12195845]]"
157,[ 2.20222422 -1.46902862  1.88339369 -1.46581928  1.3961282  -0.59003308 -0.24566924  2.76997637  0.0255949  -0.04422659 -2.7875541  -0.97646439  0.21044041  1.85543892  1.11426734 -0.2661387  -0.46261711  0.          0.        ],"[[-3.38011132  1.75958474  1.64372221]
 [-1.71132772  1.93010221  1.5236568 ]]"
158,[ 3.19750534 -1.4758449   2.1194297   1.27195481 -1.51804333 -0.36526252  0.11443794 -0.59411136  0.74313519 -0.10229408 -1.10950517 -0.06646923  2.53199782  1.78991549 -0.98437176  0.37701396  1.79317922  0.          0.        ],"[[-3.05506076  1.12814637  1.19002984]
 [-2.09335185  1.95349627  1.89839132]]"
159,[ 0.20140344 -0.61430384  0.92662134  0.20547208  0.48354091  1.14604762 -0.72589894 -1.53377286  1.17124297  0.09158198  0.13553205 -1.47427865  2.15478191  1.14460956 -2.15692321  0.23371797 -0.22014247  0.          0.        ],"[[-1.66255541  1.83191915  2.05333965]
 [-3.42986329  1.64022197  1.36624405]]"
160,[-1.088485   -1.08697398  1.9093504  -1.80053038  0.18976761 -2.08112881  0.18785528 -2.18134246 -0.36010882  0.85355164 -1.01193908 -1.83742369  2.27259663  1.3688723  -0.9785565  -0.35490274  0.68788698  0.          0.        ],"[[-1.86908093  1.07706284  1.80433567]
 [-3.39958413  2.20469279  1.42369885]]"
161,[-0.02076051 -1.32474676  2.2990497  -0.04403119  0.30917388  1.91209924 -0.04295264 -2.33791205  0.61629115  1.03158744 -0.05785955 -1.07513666 -2.26023574 -0.24967523  2.5414716   0.9455218  -0.41949823  0.          0.        ],"[[-1.5948221   1.86408161  1.86214876]
 [-3.61337031  1.9789131   0.97356542]]"
162,[ 3.32312683 -1.4530784   2.01227157  1.12802081  0.75437485  0.84613524 -0.68768324  2.45247411  1.22162892  1.57812229  0.93431394  1.30310274 -1.47620651  1.90866288  0.90167664 -0.6038885   0.31772424  0.          0.        ],"[[-3.40878377  2.52454523  1.66387523]
 [-1.92815511  2.14313794  1.69199145]]"
163,[ 3.18130476 -1.06927103  1.65790566  2.85541596 -0.93577811  1.76272891 -0.7056763  -0.63228858 -0.73291936  1.28293824  2.51751145 -0.24107874 -0.92185005 -0.49437186  2.23304742  0.98247776  2.27870278  0.          0.        ],"[[-2.57021743  2.04912691  2.23501279]
 [-1.67682587  2.08075672  1.87710229]]"
164,[-2.07632546 -1.12469627  1.7531228   2.55307946 -0.6811979  -2.49349903 -0.25893548 -1.57638417  0.54927336  1.56860487 -0.81979793 -0.80459182  1.94679969  1.34284744  0.44466684 -0.16518139  1.63262175  0.          0.        ],"[[-2.91616868  1.49750635  2.15822301]
 [-2.16421866  2.7240085   1.73772627]]"
165,[ 0.05593449 -0.398213    1.49789609 -2.92426779  0.32525391  1.58014849  0.19870719  1.57760881 -0.44033652 -0.01626439  0.91337746  1.61089549 -1.85557324  1.97632349  0.50985332  0.68259741  0.29375166  0.          0.        ],"[[-1.33795901  2.42587699  1.57586244]
 [-3.19401385  1.85810015  1.71498709]]"
166,[ 1.09057491 -0.25006436  0.8941975  -1.56821693 -2.0357316  -2.63199131 -0.56701975 -2.30882761  0.36915621 -0.68353779 -0.73316928  0.20538263  0.41405948  0.05307682 -0.1304848   0.5278777   0.72302328  0.          0.        ],"[[-1.97483152  1.71515253  1.33486181]
 [-3.23804907  1.24853563  2.13326467]]"
167,[-0.60292469 -1.37373378  2.08292112 -0.01218752  0.33205521 -0.72689725  1.40988348  1.08710361  0.70363085 -0.35232039 -2.5697607  -1.23606543 -1.18099459  0.15717696  2.14195592  0.15594706  0.89670214  0.          0.        ],"[[-1.59675186  1.69294314  1.5583303 ]
 [-2.89343871  1.51820278  2.01034084]]"
168,[-1.53788528 -0.20870364  0.9963817  -2.45428145 -1.22323641  1.19392788  0.31022342  0.22416897 -0.19356914  0.69466943 -1.80175893  1.69586514 -2.71436321 -0.30169984 -2.04576001 -0.36699497 -0.72277955  0.          0.        ],"[[-2.95086086  1.61054009  2.25239507]
 [-1.45462981  2.19151463  1.2730839 ]]"
169,[ 1.24818401 -1.0236014   1.33970511  0.85354146  0.63735558 -2.48156561 -0.29259946  0.40548847  0.4766904   1.19161267 -1.03912724  1.27130858  1.34093209 -0.13128696  1.03819904 -0.42578734  0.85015112  0.          0.        ],"[[-1.79720599  2.30504394  2.15983066]
 [-3.31474214  2.0350887   1.98766064]]"
170,[-1.30804896 -1.08066855  2.30202693  1.40493978 -1.31307738  1.26409349 -0.74219735 -2.70583083 -0.31936188 -0.41898317  2.42946833 -0.44766476 -0.96492318  0.75101122 -2.8967634  -0.16667156  1.95052458  0.          0.        ],"[[-1.55038887  2.07296564  1.07306371]
 [-2.52735232  2.56217831  1.98664528]]"
171,[ 3.26824835 -0.34839549  0.8706407  -1.86125967  1.14046512 -2.08226966  0.46466967 -2.5636052   0.73084878  0.93882104  2.96490151 -0.29311865  2.31015701 -1.11547026  1.5894512  -0.02248094  1.92096428  0.          0.        ],"[[-3.40269137  1.18526081  1.71682833]
 [-1.96217316  2.07538022  2.27397565]]"
172,[ 2.26573025 -0.48317338  1.12462331 -2.62068141 -1.18724559 -1.4605111  -1.92262571 -2.08868571 -0.56271021  0.16753616 -2.63187593 -0.59688386  1.11832851 -0.19180083 -1.81095626  0.18794397  1.62362846  0.          0.        ],"[[-3.21921052  2.41649858  1.85182642]
 [-2.25559903  1.72481745  2.35266564]]"
173,[ 0.11272324 -0.41790727  1.69213396 -2.07091885 -0.74714282 -0.78245627 -2.03218239 -2.48200658  0.36206637  0.29435413  1.56085127 -0.13453989  2.31231558  0.074943    0.46392395  1.02045643  1.7451197   0.          0.        ],"[[-2.07911742  2.63791148  1.79938612]
 [-3.48103154  2.13818517  1.859412  ]]"
174,[ 1.51559596 -1.28659307  2.02050081 -1.13409435 -1.028968    0.00836822 -0.54870734  0.90185331 -0.77279119  0.14069343  2.69485839 -0.48121478  1.79279879 -1.47878368  2.46696239  0.55450044  1.88152933  0.          0.        ],"[[-1.74703593  2.75304621  1.49988981]
 [-2.86632497  1.80722632  1.96811187]]"
175,[ 0.09436255 -1.12583685  1.71406395  1.93695628 -0.67664888  0.29295885  0.82258259 -1.69673129 -0.14543984  1.21979706 -2.00292035  0.44179343 -1.71376306 -0.07272055 -2.84782003  1.08441265  0.81680423  0.          0.        ],"[[-1.88248638  2.40501374  2.12822835]
 [-3.63878807  2.11124075  1.63323047]]"
176,[ 2.62726119 -1.01860342  2.3069216  -1.20922981  0.24927502  2.11740762  0.77172201  0.63080625 -0.38098171  0.90153234 -0.07722066  0.0567134   1.50926854  0.83970734  1.29015421  0.0738878   1.43827178  0.          0.        ],"[[-3.39771078  1.80675185  1.89547992]
 [-2.23660726  1.52483128  1.97955749]]"
177,[ 2.99939998 -0.32808342  2.15541649 -2.10443246 -0.01136709 -1.67300459 -0.01251728  1.89458014  1.12290066  1.8585405   2.22064766  0.49048301 -2.078099    1.2591568  -1.85255487  0.9357906   2.0280784   0.          0.        ],"[[-3.44895473  2.09414178  1.68474779]
 [-1.6640966   1.56556195  1.50533417]]"
178,[-2.18087886 -1.49113028  2.08047904 -0.47292691  0.35427911  2.03658299  0.1032079   0.52851731 -0.49230018  1.9973558   0.6049726   0.63357396  0.10954723 -1.45861233 -1.48077547  0.01445241 -0.74176891  0.          0.        ],"[[-2.75143677  1.31929354  1.93802269]
 [-2.66212107  2.91874462  1.55549787]]"
179,[ 3.04677056 -1.36773714  1.90783685 -2.54941303  1.3336534   2.445841   -0.89266358  0.67494679  0.42553769 -0.55116142  1.19117096 -0.6682912   1.97552572  0.55866284  2.7408545   1.01274403  0.37497222  0.          0.        ],"[[-3.52204539  2.16187009  1.07960463]
 [-1.56288569  1.84158092  1.62977928]]"
180,[ 0.08193087 -0.75805732  2.10145226  0.55523194 -1.10224909  1.46557788  1.27112797 -0.47325399 -0.54560345  1.45117062 -0.48372967 -1.58117001 -1.21693307 -2.02359097  1.59248768  0.01270399  1.19489345  0.          0.        ],"[[-1.66513383  2.62008487  1.45292069]
 [-3.30618737  1.83163523  1.40050943]]"
181,[-1.90643843 -0.91908865  2.06360149 -2.45807424 -0.63062158 -0.48651366 -0.28683285 -0.89313166 -0.53593444  2.25002062 -1.56821121 -0.92442822  1.44208026  0.57672025  0.09214241  0.12326882  0.45817427  0.          0.        ],"[[-2.65462162  1.48188139  2.01976956]
 [-2.66141314  3.04463849  1.63466104]]"
182,[-2.22959432 -1.4560928   1.87045612 -1.69555622 -1.7773247   2.44228035  1.35082494  0.33658269 -0.29933884  1.44750132  1.16484696  0.13458843  1.14944778 -0.45293767 -2.36738663  0.50516919 -0.00997337  0.          0.        ],"[[-3.28975867  2.08212648  1.76747332]
 [-1.99410481  2.95425842  1.7390565 ]]"
183,[ 1.32350491 -0.96148323  2.24359549 -2.83349279 -0.77112705 -1.31245281  0.6617647   0.52010798  0.40865054  1.48043557  2.18236353  0.66578792  2.56397658 -1.19508858  1.40023083 -0.23760969  1.1951156   0.          0.        ],"[[-2.49110442  2.12382246  2.08712996]
 [-2.46729894  1.17838499  1.77276131]]"
184,[ 2.88096258 -0.99246186  1.81617912 -1.97363986 -0.68212155 -1.15026719 -0.15633351  2.81143603 -0.33516671  0.98072874  0.18205928  0.59132816  1.1837103  -0.36922175 -1.09875909 -0.69186552  1.08189566  0.          0.        ],"[[-3.32914432  2.72021266  1.8641714 ]
 [-1.71861128  1.75060477  2.04354798]]"
185,[ 2.01824214 -0.22672084  0.57230243 -1.179582   -0.1094444   0.10025513 -0.07464274  1.15232626 -0.40930997  0.66762471  1.52934819 -0.42625212 -1.33263418 -0.07878587 -0.13724627  0.29699761  0.44639199  0.          0.        ],"[[-3.09004136  3.05031008  2.00967783]
 [-2.50868846  0.87973897  2.04482974]]"
186,[ 3.18160181 -1.48567789  1.91245208  1.44949686 -0.82571456 -2.80735121 -1.06483135  0.92546688  0.37131713  1.61889745 -1.83259494 -1.07929442 -1.94482492 -1.45976512 -2.84895198  0.11877226  0.13537945  0.          0.        ],"[[-3.30495486  1.69653093  1.84276122]
 [-1.64044957  2.37918715  1.57469352]]"
187,[-1.5155603  -1.45462829  1.82356954 -2.00198731 -1.84375471  1.25068224 -0.38086812 -0.77118654  1.11530129  0.45072502 -1.68491289  1.01474714 -2.37949022  0.09412242 -1.90265438 -0.03587309  0.0201487   0.          0.        ],"[[-3.20642395  2.38121162  1.50238096]
 [-1.92613153  2.78016131  1.61126167]]"
188,[ 1.16534691 -0.85420133  2.32783899  0.00792503 -0.17976241 -1.70651503  0.22582655  1.76248465 -0.61796319  0.25198892 -0.1565247  -0.70645565  0.52926568 -0.76557664 -0.29753129  0.2441871  -0.63369295  0.          0.        ],"[[-2.26652166  3.22288249  1.41889314]
 [-2.70977416  1.03178836  1.14550534]]"
189,[ 3.05757967 -0.74152043  2.24523066  1.88704558  0.36073436 -1.2908767   0.92725116  0.69975595 -0.57277439  1.40472599  1.41601497 -0.49552559 -0.12342104  0.04354594 -1.93494462  1.29651033  1.00652645  0.          0.        ],"[[-3.44080358  1.66960338  1.69404754]
 [-1.64979916  1.49493496  1.64343961]]"
190,[ 0.87613705 -1.27335751  2.1840502  -1.18632643 -0.72287829  2.01192983 -0.07672257 -1.18015655 -0.77583676 -0.12335383 -2.43824287  0.66219078 -2.43061492  0.37370185 -1.04544275  0.28369581  0.22984107  0.          0.        ],"[[-1.50925502  2.4998398   1.44710963]
 [-3.56501774  1.41922635  1.50285481]]"
191,[-1.39575712 -1.22435111  2.31519433 -2.42169357 -1.01019913 -1.73332285 -0.6191839   1.32006915  0.50822284  2.11367733 -1.17907022  0.55115597  1.86433284  0.92295835 -0.37400244  1.1273798   0.86387766  0.          0.        ],"[[-2.82973128  1.55934734  1.9463723 ]
 [-2.02589244  2.69940379  1.78812608]]"
192,[-0.70757714 -0.54091438  2.01080086  0.86927202 -0.04584072  2.77989414 -1.30028876  1.74277134  0.98399826  2.07714038 -1.69479227 -1.48472636  0.77534118  0.21453928  0.61278312 -0.37109243  0.3391001   0.          0.        ],"[[-1.5736181   1.84718459  1.70334201]
 [-3.3408213   1.75716231  1.41740167]]"
193,[ 3.18619691 -1.10235409  1.99276037 -2.33343056  1.12904278  0.93426059 -1.27880589  1.10392897  0.65085841  0.90212233 -1.63750636  0.37467679 -1.89123742 -0.10410218 -2.61207368 -0.22629672  0.30543061  0.          0.        ],"[[-3.46440603  1.59864448  1.59123271]
 [-1.52977239  1.55555081  1.77432466]]"
194,[ 0.18875259 -0.66183634  1.8249108  -2.74244418  0.30750861 -2.31490837 -0.62120658 -0.38731936  0.88745518 -0.72114265 -2.89848355  0.62592176  0.34829984  0.62248104  2.57871714  0.40518505 -0.1702652   0.          0.        ],"[[-1.51352334  2.15536606  1.37345093]
 [-3.63962141  1.79582061  1.24143579]]"
195,[-0.86850706 -0.43861563  1.94862414  1.06352356 -1.6341014   1.71108196  1.17636826 -2.58011617  0.71583846  0.44159318 -1.78366043 -0.25632302  2.6572609  -0.12068879 -1.56538386  1.11354489  0.44978238  0.          0.        ],"[[-1.49359868  1.71274746  1.19784739]
 [-3.18189262  2.61683661  1.77821372]]"
196,[-0.74837565 -1.27619481  1.58044031 -0.21103338  1.01455714 -2.17939973 -1.55889514 -2.09510346  1.02100673  0.06241057  2.05911475  1.74074836  2.05095128 -1.26836844  0.7931735   0.86771958  1.11697044  0.          0.        ],"[[-2.30040409  2.27590647  1.88607166]
 [-3.43215382  1.725193    1.51727741]]"
197,[-0.24039461 -0.45266703  1.26960738 -1.42272018  1.13584071 -0.18007989  0.10980801  1.51061134  1.36958285  0.51886998  1.51364208  1.33992198  1.05528261 -2.01231847 -2.50903239  1.25845393 -0.21735893  0.          0.        ],"[[-1.67009918  2.61876958  1.81711094]
 [-3.33139864  2.09384783  1.55067739]]"
198,[ 2.80883879 -0.92527296  2.09568785 -0.96623968  1.40517472  2.17738019  0.22326193 -0.90723802  1.10888732  0.84959216  1.78579967 -0.12760012 -1.78583247 -0.47676595  0.42662587 -0.60469581  0.49814402  0.          0.        ],"[[-3.06509863  1.33315989  1.8850853 ]
 [-1.60599169  1.59038848  1.84689643]]"
199,[ 3.4239649  -1.29214538  2.16036887  1.36769582 -1.92951717 -1.17181268 -1.50590354  0.6583866   1.0412473  -0.38615876 -1.09657542 -0.39464155 -2.89542691 -0.91796987 -1.91112239  0.59392989 -0.31588227  0.          0.        ],"[[-3.08771847  1.49831937  1.27233613]
 [-1.50425597  2.40211156  1.32335094]]"
200,[ 0.43267038 -0.33236489  1.36293049 -2.76389828  1.65410483 -1.62189148  0.73772014 -2.01043566 -0.19050789 -0.39358314  0.57700148 -1.1973039   1.80820627  0.45729983 -2.17820181  0.83844392 -0.25706568  0.          0.        ],"[[-1.95334487  2.94860311  1.05446609]
 [-3.68989444  2.04306535  1.25902538]]"
201,[ 2.94785426 -1.27138161  1.59426552 -1.10461187 -0.56738527 -0.23592095 -0.1501276   1.07677507 -0.68478813  0.39766402  1.94959409 -1.6410754   1.47904283 -0.28558995 -1.99722279  1.15193088 -0.49246534  0.          0.        ],"[[-3.55960378  2.74484169  1.60393666]
 [-2.60888383  1.3190784   1.63094462]]"
202,[ 0.67727565 -0.48758579  1.76212281  1.07234931  0.3197521  -1.16835498 -0.1079844  -2.65259548  0.5911324   2.1066817   0.76622257  0.37636702  2.36569331 -0.88625353 -2.61478743  0.56849082  0.36222549  0.          0.        ],"[[-1.96553451  2.37032431  1.94039789]
 [-3.50144959  1.75834854  1.95676617]]"
203,[-0.8158308  -0.47755977  0.99944311  0.32923124 -0.43768464 -1.19426469  0.20270184  0.83518868  0.31181328  0.13619672 -1.08630148 -0.31521016  2.77487137  0.40706162 -2.61616646  0.61577562  1.29516561  0.          0.        ],"[[-1.54765144  1.24262259  1.59778002]
 [-3.40564924  2.45734823  1.95632275]]"
204,[ 0.24219765 -1.2336181   1.68536301  1.49419815 -0.92912117  2.79778369 -1.44618425  0.09070607  0.10597632  2.25455019 -1.07186585 -0.55312198 -1.49815225 -1.36758711  2.51055027  0.58653863  0.80527338  0.          0.        ],"[[-2.25847724  2.35528901  1.85125643]
 [-3.42803296  1.78523812  1.85159433]]"
205,[-2.20720922 -0.02441453  0.28667358 -0.49047162 -0.33952812  2.25161069 -0.87331877 -1.44820343  0.12592135 -0.6624858   1.66079275 -1.02332622  1.19598327 -0.04261798  2.55430777  1.178179    1.26396353  0.          0.        ],"[[-3.24187465  1.1108753   1.52542269]
 [-1.49594553  2.09827662  1.95029228]]"
206,[ 1.61219349 -1.41670144  1.89825945 -2.70886031 -1.15167557  1.2613274   1.74957195  1.27164391 -0.15816226  0.1680956   0.40755149  0.82770953  2.41643718 -1.04571072 -2.8218238   0.68845884  0.71994731  0.          0.        ],"[[-2.30847808  2.87139475  1.62800796]
 [-2.54181063  1.31855881  2.05821702]]"
207,[-2.20719841 -1.15243696  1.74853696 -2.34935416 -0.01840661  0.19416931 -1.12470845  0.49913407 -0.01154318  1.79043313  0.81220843  0.8334781   1.75413392 -1.23373427 -1.51352492 -0.71248362  0.69252184  0.          0.        ],"[[-2.94584243  1.51677405  2.07193914]
 [-2.02492147  2.60958285  1.91217644]]"
208,[ 2.96338823 -0.03808671  0.57854548  2.62772544  0.6262837  -1.01639787  0.90136515 -1.83447016  0.28899931  0.83781656 -0.1559342  -0.90049306  0.32468204  1.33636092 -0.79138872  1.30366191  0.55096618  0.          0.        ],"[[-3.52626327  2.35868567  1.91319795]
 [-1.71814237  1.33431126  1.51501893]]"
209,[ 1.00397886 -0.66599172  1.01843643 -2.42928199  0.63221787 -1.84075042  0.01956934 -1.7755841   0.24022958  0.25388867 -1.41901684  1.48999789  2.43374783 -0.74650305 -0.2885372   0.5846863  -0.27561156  0.          0.        ],"[[-2.14658954  3.19775278  1.53947153]
 [-3.51489003  1.87294224  1.65264062]]"
210,[-1.94452912 -0.87659588  2.08166054 -2.72188792 -0.87632085  2.60473221  1.20166667 -1.3253304   0.40206337  2.12652372 -0.49360846 -1.20423202  0.77795569  0.98136635 -1.17549783 -0.77062567 -0.51516113  0.          0.        ],"[[-2.65741305  1.46922825  2.03685086]
 [-1.94505222  2.76590481  1.13272513]]"
211,[ 2.67158119 -1.40554762  1.84371969  1.08361937 -0.37030203 -0.88053175  1.69870723  0.12971116  1.36864069  0.02064085 -2.1748322   1.04539836  0.58218777 -0.65058653  1.51496855  1.12339169  0.54101043  0.          0.        ],"[[-3.30768152  1.84575422  1.56265124]
 [-1.94987433  1.22834147  1.49318962]]"
212,[-1.08892526 -0.61103709  0.65041091  1.20099288 -2.01998918  1.84119126  0.60188775 -2.69269607 -0.40333653 -0.1783895   1.18268408  1.10876749  0.80530547 -0.83768184 -2.88633388  0.78136565  0.12300303  0.          0.        ],"[[-1.69167807  2.05345122  1.27633669]
 [-3.56266965  2.30702683  1.90236235]]"
213,[-1.27140764 -1.56216353  1.93614271 -0.40025874  0.31285108  0.09242846 -1.10687399 -1.29661815  0.66411557  0.4987363   2.92214442  1.32641364  2.28703131 -0.5103177   1.31395445  0.38128946 -0.46136006  0.          0.        ],"[[-2.91284591  1.38142903  1.94334475]
 [-3.3017245   2.75345374  0.97836195]]"
214,[-0.04441047 -0.664663    0.89661189 -0.71396088 -0.11316013  1.78107509  0.69756725  1.75314376 -0.12519178  2.13283615 -1.24073009  0.30635717  1.99380326  1.03493527 -2.46939623  0.66215765  2.21211625  0.          0.        ],"[[-1.92635336  2.08500488  2.0921139 ]
 [-3.14340107  2.2890849   2.12736194]]"
215,[ 3.40399423e+00 -5.34078836e-01  1.59019837e+00 -8.98139815e-01 -7.13716394e-01  1.19736333e+00  6.00562705e-02 -2.33375432e-01 -2.55821955e-01  1.99391431e-01  9.86978012e-01 -2.21962049e-01  1.62538141e+00 -1.84468762e-03 -1.85902095e+00 -6.88267760e-01  6.19491919e-01  0.00000000e+00  0.00000000e+00],"[[-3.73391558  2.0196711   1.46461161]
 [-1.40232397  1.8071831   1.825086  ]]"
216,[-0.32145277 -0.42593099  1.8517557  -2.22056997 -1.68530032 -0.73002355 -1.98851736 -2.04033177  0.94138663  0.66070112  1.31756659  0.50056324  0.45424055 -0.39071477 -2.72978611  1.14864348  0.79759673  0.          0.        ],"[[-2.07276556  1.99885403  1.83533964]
 [-3.44682115  2.07842093  1.69348722]]"
217,[ 3.34551402 -0.31191604  1.30258229 -0.52380486 -1.19188768 -0.81771615 -2.01406485  1.96662593 -0.06744156  1.3167973   1.29605355  0.17632598  1.8262625  -1.36611239 -2.70546574  0.9811629   0.30869077  0.          0.        ],"[[-3.2582402   2.00221777  1.74759011]
 [-1.5795914   1.60841572  1.81126531]]"
218,[ 0.11430414 -0.51368561  1.11825867  2.66632469  0.73709705 -1.6887714  -0.17245128 -1.65394355 -0.57726208 -0.61774194 -2.18979907  0.5336107  -2.18227922 -0.3745736  -1.84909512  0.77305567 -0.16072697  0.          0.        ],"[[-1.39564362  2.04155854  1.41499202]
 [-3.68899654  2.33661644  1.60643582]]"
219,[ 2.42937079 -1.35615216  2.21794877  0.44182519  0.84276127  0.40346044  0.05056571  0.90732471 -0.47115557  1.72525254  0.94686919 -0.87428391  2.80367455  0.80194971  2.51461057 -0.19884836 -0.48011472  0.          0.        ],"[[-2.87629921  2.36796786  2.11060037]
 [-1.94007746  1.07112753  1.21295125]]"
220,[-0.85767935 -0.43685838  1.56449747  0.35418107 -0.47949683  0.42436091  1.11912823 -0.23482846  0.25039402  0.8189206  -1.62550353 -0.78495653  1.60724523  1.09769712 -0.13005659  0.03192679  0.59254216  0.          0.        ],"[[-1.38498374  1.79273364  1.70644205]
 [-3.0948301   2.83597548  1.82179829]]"
221,[-0.56411394 -1.201952    2.04296293 -1.00458182  1.66158013  0.96728404 -1.37320672  0.93029835 -0.61687138  1.41783271 -1.86743122 -0.90680674  2.58483399  0.66797467 -0.91656269  0.29105567  0.94691689  0.          0.        ],"[[-2.03737617  2.27993523  1.97735987]
 [-3.3622174   1.91973005  1.9731244 ]]"
222,[-1.16861903 -0.24316011  1.21417904  0.38790477  1.05687271 -0.46071024  0.09395436 -0.96457919 -0.04523529  0.98614343 -1.31013138  0.46181987 -0.62834933  0.3106858   2.1663912  -0.0516547   0.51380813  0.          0.        ],"[[-2.54670047  1.67056066  2.37825031]
 [-2.37714911  3.24091225  1.84119604]]"
223,[ 2.17657252 -1.13370859  1.59696398  1.68647744 -0.56882439  0.69735169 -0.15080675 -1.74460083 -0.76772101  0.19182082  1.30511363  0.03185362  1.62898421  0.8180061   1.91849217  1.06312432  1.02672059  0.          0.        ],"[[-3.49046579  2.39617609  1.85080588]
 [-1.79069248  1.73727695  1.87577436]]"
224,[ 2.72933026 -0.72514598  1.1039255  -2.15058984  0.17309703 -1.96296383  0.4570197  -0.66768944 -0.67793705  1.78942499  0.26833546  0.4059814  -2.93536305 -0.94745157 -2.91598249  0.62554525  0.91835869  0.          0.        ],"[[-3.51263192  2.22688102  1.99356871]
 [-2.03894668  1.47322416  2.20848833]]"
225,[ 3.22426551 -0.33416757  1.51093281  1.14106827  0.04348891  2.11785479 -0.59532092  2.70711074  0.86663239  1.0110291  -0.93050516  0.07683542  1.94884988  0.40529095 -1.72289149  0.7970751   1.05873118  0.          0.        ],"[[-3.61418841  1.5872478   1.83561013]
 [-1.64275833  1.80971479  2.03157833]]"
226,[ 0.90093445 -1.49753451  1.97282216  1.93278384  0.38145761 -1.67334945  0.03466959 -0.21228819 -0.03906296  0.54825709 -2.724594   -0.48990948 -1.39812657  0.47928452 -0.65483679 -0.53990767  1.81101832  0.          0.        ],"[[-1.47958385  2.63580752  1.59260515]
 [-2.76657948  1.46543871  2.10059854]]"
227,[-0.63970542 -1.54337974  1.95731042  0.10360783  0.85468944  2.39603516  0.419596   -2.30444841 -0.53566178  1.61611825  1.50879692  1.73501365 -2.07768034  0.60091803  0.31830357  0.83181094 -0.53642529  0.          0.        ],"[[-2.34320054  1.45470703  2.14908   ]
 [-3.33406526  1.39223408  1.35973196]]"
228,[ 0.32845254 -0.35170753  1.86487146 -2.7136249  -0.22756537 -1.0533421  -0.11829559 -0.10467847 -0.33821186  2.29088442 -2.94568193 -0.28789858 -1.84928628 -0.62934079 -1.4126255  -0.69010105  0.37752852  0.          0.        ],"[[-1.95647143  2.6501616   1.86138618]
 [-3.67714051  1.99999669  1.71198183]]"
229,[ 1.31460163 -0.90661638  1.68471092  0.14139846 -0.10879724 -1.66759099  0.36596971  1.59015981  1.20186035  0.29179383  1.17236868 -1.94954764  1.15558412  0.15064961 -2.62666654 -0.24716024 -0.37958438  0.          0.        ],"[[-2.12965028  3.02876083  1.55529253]
 [-3.46833094  2.15987218  1.09788214]]"
230,[-0.22397635 -0.89112113  1.1540257   1.23711156  0.87661153 -1.69106091  1.76831822  0.36261843  1.16816034  0.2463664   2.33482607  0.39906505 -1.37318743  0.84162943 -1.29302786  0.19259418  0.86090017  0.          0.        ],"[[-1.72780442  1.60114907  1.77560578]
 [-3.57189358  2.09756667  1.99440899]]"
231,[-8.16972880e-01 -1.53444507e+00  2.25368069e+00  2.75174979e+00  1.42057027e+00  2.62451128e+00 -9.26370489e-01  1.07057699e+00 -1.14923509e-03 -1.69552250e-01 -3.40782448e-01 -1.82399400e-01 -2.42673183e+00 -8.38812741e-01  1.61146041e+00  1.19842661e+00  1.70147436e+00  0.00000000e+00  0.00000000e+00],"[[-2.49336962  0.98870924  1.09248349]
 [-3.170943    2.77334224  1.61529454]]"
232,[ 0.99183673 -0.82351007  2.08565464 -2.53041164 -0.89246691  2.62218156  0.1212382   2.82415082  0.29421587  1.9511758   2.03055905 -1.20641633  2.29521251  0.55476392  2.47080635  0.36514116  0.43324184  0.          0.        ],"[[-2.34848622  2.22423665  2.09170283]
 [-3.65050981  1.94232877  1.70109018]]"
233,[ 0.6340798  -0.67993143  1.89412334  1.44093131  0.33315021  1.62353636  0.79503502  2.22197795  1.09917413  0.24837908 -2.09289781  0.35204987 -0.16417416  0.23978115  2.7374215  -0.53951498  0.33141042  0.          0.        ],"[[-1.85586716  2.02138546  1.79293629]
 [-3.74913894  1.72121529  1.61819884]]"
234,[-0.91268808 -0.76161313  1.69073686 -2.09267934  0.30652976 -2.52998897 -0.20475386 -1.49284092  0.50327949  0.14168193 -0.94483863  0.11259008 -2.48613191  0.27620539 -2.30317631 -0.63449469  0.85280606  0.          0.        ],"[[-1.64264403  1.20751962  1.6794595 ]
 [-3.03598505  2.93994049  1.94833487]]"
235,[ 2.62013567 -0.94575592  1.90216125 -0.78842205  0.65032138  1.55210754  1.4449172  -0.62196928  1.27723954  1.30448904 -1.98302221 -1.10012678 -0.43641789  0.94600602  1.43519294 -0.67063653 -0.16243095  0.          0.        ],"[[-3.13935545  1.64506119  1.9066769 ]
 [-1.72059017  2.37582143  1.44065019]]"
236,[ 0.36763911 -0.4469706   2.11899747  1.80788948  0.40886152 -2.69786882 -1.11987876  0.44380983 -0.68050729  0.74913666  0.19261624 -0.7394063  -2.60691814 -1.55714792  2.32773344  0.87318157  0.96728822  0.          0.        ],"[[-1.82023685  1.93780863  1.78789031]
 [-3.57132857  2.37615125  1.44513449]]"
