,joints,markers
35,[ 0.53507302 -0.04002669  0.76860136  1.54043332 -0.18687521 -1.54749903 -1.48050574 -0.74143788  0.21507217  0.47839359  0.07365673 -0.56494256  1.03402999  0.94878751  1.26024313 -0.56549821  1.73991688  0.          0.        ],"[[-1.84775802  2.14108232  1.81306355]
 [-3.51720434  2.12396071  1.8949598 ]]"
36,[ 2.85885866 -0.73846023  0.78906178 -2.17386519  0.60007269 -0.12110332 -1.72803504  1.38862028  0.82859178  2.09408778  1.40128278  0.78007941 -2.10029512  0.43657726 -0.72100924  0.86392103  1.04328136  0.          0.        ],"[[-3.22516861  1.84457379  1.88088792]
 [-1.57407871  2.46915454  1.92986416]]"
37,[ 2.47231126 -0.96807307  1.61160198 -0.25396054 -0.52413862 -2.04663493 -1.18771582  2.76866963 -0.13362934  1.05836902 -2.47354095 -0.09040408 -1.14630253  0.7266897   1.99985683  0.4485043   1.0994603   0.          0.        ],"[[-3.53452034  2.36157681  1.70586718]
 [-1.76862828  1.91044907  1.9957052 ]]"
38,[-1.78732231 -0.82893556  1.58994228  1.59605754 -0.70106764 -1.11201578  1.39604874  0.29332697  0.30735546  0.39460829 -2.42788009 -0.93299219 -1.79343896  0.36881161  2.52643949  0.13851287  1.04163949  0.          0.        ],"[[-1.78239197  1.5954892   1.70174718]
 [-3.01823318  2.29411862  2.13606066]]"
39,[ 2.85353322 -0.60478388  1.94322648 -2.76748161  0.48572391 -0.94242843 -0.37665504 -2.23200684  0.87059057 -0.16892238 -1.19136165 -1.19765196  0.73005523  1.52533219 -0.0185768   0.66087843 -0.52083532  0.          0.        ],"[[-3.78654799  2.04789931  1.31360297]
 [-1.69327173  1.72134428  1.33252107]]"
40,[ 2.0981427  -0.77601093  1.49363504 -2.20317596 -1.12088877 -0.45820724 -1.80228897 -1.59917515 -0.17428132  0.32784409 -0.29935263 -0.06387341  0.57877953  0.45715043 -0.96597951  0.7067335   0.88423062  0.          0.        ],"[[-2.93540243  2.16469692  2.07619487]
 [-2.16471048  1.04148704  1.94598199]]"
41,[ 2.3709822  -0.87095371  2.14357726 -1.11986566 -0.34765284 -0.97099616 -1.15916797 -2.11447765 -0.18806003  1.10785467  1.89453547 -1.14748768  1.52672254  1.14261623  1.46009213  0.81698346  1.30963243  0.          0.        ],"[[-3.23405801  2.2894485   1.91401039]
 [-2.3251208   1.29557646  1.80055214]]"
42,[-0.03814061 -0.14741649  0.65205257  2.61073878  0.0447428   2.7007238   0.42688257  0.89791237  0.24504519 -0.06577533 -2.24932635  1.28175356  1.26211525 -1.13560547  1.4544654  -0.45180144  0.88428254  0.          0.        ],"[[-1.36948088  2.20033084  1.91959074]
 [-3.3954701   2.82211993  1.67951829]]"
43,[ 0.15589897 -0.6556221   2.29207325  1.39397786 -0.27204709  0.94416711 -0.78969566 -2.42321919 -0.00299549 -0.40570684  1.77984466 -0.92591231  0.49479885  0.41479428 -2.07082464 -0.05950713  0.86489365  0.          0.        ],"[[-1.65899333  2.85469787  1.39675247]
 [-3.33376408  2.79990169  1.76103423]]"
44,[ 0.08915806 -0.52221226  1.89073481  1.14191571 -0.54252404 -2.55389019 -1.84468637  0.09405764 -0.43113365  1.77477999 -1.27408239 -1.36963448 -2.71383241 -1.89571084  2.50862443 -0.6142708  -0.56251325  0.          0.        ],"[[-2.04601562  2.20059933  1.82429704]
 [-3.2457166   2.23020197  1.17792764]]"
